店舗CD,店舗,グループCD,グループ,9時迄売上高,10時迄売上高,11時迄売上高,12時迄売上高,13時迄売上高,14時迄売上高,15時迄売上高,16時迄売上高,17時迄売上高
"","",221,デイリーフーズ,37.0,113.0,284.0,552.0,808.0,1068.0,1350.0,1671.0,2008.0
0000006100,新潟南, ,新潟南計,43.0,147.0,414.0,792.0,1181.0,1540.0,1920.0,2427.0,2841.0
"","",211,グロサリー,21.0,76.0,204.0,389.0,604.0,787.0,990.0,1217.0,1407.0
"","",214,リカー,8.0,24.0,49.0,89.0,127.0,152.0,184.0,259.0,308.0
"","",221,デイリーフーズ,15.0,47.0,160.0,314.0,450.0,601.0,746.0,951.0,1126.0
0000006610,八千代緑が丘, ,八千代緑が丘計,51.0,223.0,560.0,1156.0,1808.0,2337.0,3032.0,3638.0,4274.0
"","",211,グロサリー,22.0,109.0,274.0,549.0,869.0,1174.0,1521.0,1838.0,2131.0
"","",214,リカー,3.0,12.0,48.0,125.0,195.0,235.0,298.0,348.0,435.0
"","",221,デイリーフーズ,26.0,102.0,238.0,483.0,744.0,928.0,1213.0,1452.0,1708.0
0000006740,八街　　　　　　　, ,八街　　　　　　　計,9.0,96.0,237.0,411.0,583.0,698.0,866.0,1055.0,1228.0
"","",211,グロサリー,5.0,54.0,134.0,229.0,298.0,352.0,435.0,537.0,608.0
"","",214,リカー,0.0,11.0,21.0,29.0,51.0,66.0,85.0,123.0,151.0
"","",221,デイリーフーズ,4.0,31.0,82.0,153.0,234.0,279.0,346.0,395.0,469.0
0000010610,吉川美南, ,吉川美南計,45.0,144.0,343.0,615.0,909.0,1157.0,1438.0,1726.0,2050.0
"","",211,グロサリー,14.0,56.0,143.0,264.0,390.0,507.0,626.0,755.0,886.0
"","",214,リカー,12.0,23.0,38.0,57.0,93.0,123.0,158.0,185.0,221.0
"","",221,デイリーフーズ,19.0,65.0,162.0,294.0,426.0,527.0,654.0,786.0,942.0
0000017280,栃木　　　　　　　, ,栃木　　　　　　　計,45.0,148.0,319.0,627.0,914.0,1150.0,1412.0,1696.0,1983.0
"","",211,グロサリー,22.0,76.0,159.0,313.0,452.0,559.0,679.0,808.0,946.0
"","",214,リカー,3.0,16.0,40.0,69.0,90.0,114.0,142.0,176.0,203.0
"","",221,デイリーフーズ,19.0,56.0,120.0,244.0,373.0,478.0,592.0,712.0,833.0
0000024150,かほく, ,かほく計,35.0,136.0,405.0,729.0,1131.0,1424.0,1697.0,1953.0,2268.0
"","",211,グロサリー,19.0,61.0,201.0,367.0,560.0,698.0,837.0,960.0,1119.0
"","",214,リカー,1.0,13.0,27.0,57.0,99.0,134.0,159.0,183.0,218.0
"","",221,デイリーフーズ,16.0,62.0,176.0,305.0,472.0,592.0,701.0,810.0,931.0
0000031060,金沢シーサイド, ,金沢シーサイド計,31.0,109.0,379.0,685.0,1076.0,1340.0,1709.0,2085.0,2432.0
"","",211,グロサリー,18.0,47.0,156.0,287.0,451.0,575.0,736.0,923.0,1064.0
"","",214,リカー,1.0,19.0,62.0,103.0,162.0,199.0,262.0,315.0,372.0
"","",221,デイリーフーズ,12.0,43.0,161.0,294.0,463.0,567.0,711.0,847.0,997.0
0000006780,高根木戸, ,高根木戸計,40.0,160.0,453.0,803.0,1227.0,1587.0,1889.0,2209.0,2579.0
"","",211,グロサリー,20.0,79.0,215.0,368.0,550.0,730.0,868.0,1032.0,1171.0
"","",214,リカー,4.0,12.0,30.0,69.0,118.0,154.0,178.0,200.0,255.0
"","",221,デイリーフーズ,16.0,69.0,209.0,366.0,558.0,703.0,843.0,977.0,1152.0
0000015370,大和鶴間, ,大和鶴間計,84.0,269.0,628.0,1139.0,1857.0,2315.0,2899.0,3443.0,4184.0
"","",211,グロサリー,47.0,147.0,313.0,561.0,901.0,1126.0,1402.0,1654.0,1982.0
"","",214,リカー,14.0,34.0,74.0,122.0,213.0,260.0,330.0,387.0,473.0
"","",221,デイリーフーズ,23.0,89.0,241.0,456.0,744.0,928.0,1167.0,1403.0,1729.0
0000017340,小山　　　　　　　, ,小山　　　　　　　計,36.0,146.0,421.0,692.0,1012.0,1241.0,1598.0,1910.0,2263.0
"","",211,グロサリー,15.0,71.0,218.0,341.0,487.0,610.0,809.0,955.0,1108.0
"","",214,リカー,8.0,21.0,44.0,73.0,97.0,107.0,133.0,163.0,200.0
"","",221,デイリーフーズ,14.0,54.0,159.0,278.0,429.0,525.0,656.0,791.0,955.0
0000025250,高岡, ,高岡計,114.0,177.0,316.0,487.0,601.0,714.0,835.0,940.0,1082.0
"","",211,グロサリー,49.0,82.0,163.0,266.0,323.0,377.0,434.0,490.0,554.0
"","",214,リカー,28.0,38.0,55.0,75.0,90.0,121.0,143.0,157.0,179.0
"","",221,デイリーフーズ,38.0,57.0,97.0,145.0,188.0,216.0,258.0,294.0,349.0
0000031100,駒岡店, ,駒岡店計,218.0,353.0,621.0,886.0,1250.0,1544.0,1872.0,2198.0,2654.0
"","",211,グロサリー,107.0,168.0,286.0,401.0,578.0,712.0,873.0,1023.0,1246.0
"","",214,リカー,36.0,49.0,75.0,110.0,149.0,179.0,210.0,249.0,311.0
"","",221,デイリーフーズ,76.0,136.0,259.0,374.0,522.0,653.0,789.0,926.0,1097.0
0000032060,与野, ,与野計,73.0,277.0,846.0,1597.0,2349.0,3058.0,3767.0,4538.0,5319.0
"","",211,グロサリー,40.0,130.0,428.0,799.0,1182.0,1541.0,1903.0,2308.0,2666.0
"","",214,リカー,3.0,23.0,77.0,147.0,212.0,297.0,374.0,425.0,555.0
"","",221,デイリーフーズ,30.0,124.0,341.0,651.0,955.0,1221.0,1490.0,1805.0,2097.0
0000060320,西新井, ,西新井計,57.0,172.0,398.0,672.0,915.0,1194.0,1501.0,1793.0,2159.0
"","",211,グロサリー,30.0,96.0,204.0,337.0,460.0,593.0,742.0,883.0,1030.0
"","",214,リカー,6.0,13.0,34.0,55.0,72.0,100.0,141.0,175.0,229.0
"","",221,デイリーフーズ,22.0,62.0,159.0,281.0,382.0,501.0,618.0,735.0,900.0
0000006760,東金　　　　　　　, ,東金　　　　　　　計,0.0,40.0,259.0,567.0,797.0,1035.0,1274.0,1561.0,1845.0
"","",211,グロサリー,0.0,17.0,121.0,264.0,367.0,470.0,597.0,736.0,851.0
"","",214,リカー,0.0,4.0,29.0,62.0,81.0,102.0,119.0,146.0,179.0
"","",221,デイリーフーズ,0.0,19.0,109.0,241.0,349.0,463.0,558.0,679.0,815.0
0000006880,ノア, ,ノア計,26.0,137.0,434.0,861.0,1205.0,1577.0,1896.0,2309.0,2673.0
"","",211,グロサリー,13.0,66.0,199.0,396.0,564.0,749.0,913.0,1111.0,1272.0
"","",214,リカー,1.0,5.0,14.0,55.0,77.0,103.0,130.0,171.0,203.0
"","",221,デイリーフーズ,13.0,65.0,221.0,411.0,565.0,726.0,852.0,1026.0,1198.0
0000017360,笠間　　　　　　　, ,笠間　　　　　　　計,24.0,64.0,217.0,508.0,725.0,967.0,1165.0,1379.0,1645.0
"","",211,グロサリー,15.0,37.0,116.0,264.0,354.0,462.0,561.0,654.0,766.0
"","",214,リカー,4.0,5.0,15.0,47.0,80.0,120.0,138.0,181.0,228.0
"","",221,デイリーフーズ,5.0,22.0,85.0,197.0,291.0,384.0,466.0,544.0,651.0
0000017380,今市　　　　　　　, ,今市　　　　　　　計,39.0,137.0,287.0,552.0,745.0,924.0,1120.0,1334.0,1557.0
"","",211,グロサリー,17.0,68.0,137.0,255.0,352.0,438.0,544.0,653.0,774.0
"","",214,リカー,4.0,17.0,31.0,65.0,92.0,114.0,142.0,160.0,188.0
"","",221,デイリーフーズ,18.0,52.0,119.0,231.0,302.0,371.0,435.0,520.0,596.0
0000017910,大和, ,大和計,27.0,151.0,434.0,907.0,1419.0,1839.0,2312.0,2730.0,3275.0
"","",211,グロサリー,16.0,83.0,203.0,444.0,693.0,899.0,1132.0,1321.0,1582.0
"","",214,リカー,2.0,11.0,43.0,75.0,141.0,188.0,242.0,318.0,391.0
